strategy,step,progress,pos_x,pos_y,fx,fy,fz,tx,ty,tz,contact_lock,turns_x,turns_y,cmd_z,cmd_x,cmd_y,failed,success
six_axis_topology,17,0.45383365058866254,0.07574052463371932,-0.023220615837930766,14.23944685193392,-4.3655457457207385,41.37115916929382,-5.456932182150923,-17.7993085649174,1.5798241769941093,0.5908485580131952,0.2424113737933424,-0.22895367004116085,0.75,-0.22000000000000003,0.22000000000000003,0.0,0.0
six_axis_topology,18,0.46183821747292325,0.07818521878409655,-0.019698652717594085,14.636991401264597,-3.687768799881779,41.92891139926154,-4.609710999852224,-18.296239251580747,1.751875616221251,0.587282005215455,0.24265717365754122,-0.22621106951665892,0.75,-0.22000000000000003,0.22000000000000003,0.0,0.0
six_axis_topology,19,0.46923745733990474,0.07089746930103251,-0.006342522494725784,12.980566598097603,-1.1612478760440212,36.201127744572936,-1.4515598450550264,-16.225708247622002,1.8910909955285733,0.5824095692975854,0.2429037916346631,-0.22210520079461973,0.6971470239652555,-0.55,0.55,0.0,0.0
six_axis_topology,20,0.4774952682344513,0.07370166973263617,-0.0009844642769248953,14.106588922771719,-0.1884276559013105,39.18846477907169,-0.23553456987663812,-17.633236153464647,2.226905802699265,0.49447943283899676,0.24206956459469203,-0.16906265555008443,0.75,-0.22000000000000003,0.22000000000000003,0.0,0.0
six_axis_topology,21,0.4857893274276336,0.07666836789355438,0.005053626567715475,14.676901604804812,0.9674339224850408,40.85764290662161,1.209292403106301,-18.346127006006014,2.5030936843663762,0.46033456400672884,0.24239286636444682,-0.04333975067702989,0.760626026716501,-0.22000000000000003,0.22000000000000003,0.0,0.0
six_axis_topology,22,0.4938690330138946,0.07948887959264349,-0.0005144193609886915,14.931859290458974,-0.0966328567459371,41.478255475702326,-0.12079107093242139,-18.664824113073717,2.373636229394086,0.5059524203300354,0.24271828788404448,0.1533790964008619,0.75,-0.22000000000000003,-0.22000000000000003,0.0,0.0
six_axis_topology,23,0.5018800083540036,0.0823454924957348,0.005587228825881464,15.352830496046211,1.0417057996322565,42.74480648668577,1.3021322495403207,-19.191038120057765,2.6231258073085546,0.47807664814243667,0.24300617303277103,-0.023256800904395497,0.7514001429659329,-0.22000000000000003,0.22000000000000003,0.0,0.0
six_axis_topology,24,0.5095097939749789,0.07561754583083966,-0.009224363176243137,13.984621236322623,-1.7059430288126527,39.13413471056241,-2.132428786015816,-17.480776545403277,1.9645885132015952,0.5301294125934213,0.24328556318145994,0.16142349492387892,0.7243327054514209,-0.55,-0.55,0.0,0.0
six_axis_topology,25,0.5176101839916468,0.07839132023249273,-0.004154168177318205,14.77042242539811,-0.7827246514430197,41.086520095084296,-0.9784058143037746,-18.463028031747637,2.2380316438328145,0.528074022762796,0.2426100721874002,-0.19207731097563835,0.75,-0.22000000000000003,0.22000000000000003,0.0,0.0
six_axis_topology,26,0.525637392620447,0.0812187097651276,0.0015295657324704542,15.177901028378106,0.28584050855980425,42.16831211322314,0.35730063569975534,-18.97237628547263,2.4741986459100658,0.5050303325667482,0.24289668858726152,-0.13854597705370927,0.75,-0.22000000000000003,0.22000000000000003,0.0,0.0
six_axis_topology,27,0.5335185620754042,0.07474914018792711,-0.013702250355344442,14.116738541983192,-2.5877365975968143,39.866548967184244,-3.234670746996018,-17.64592317747899,1.8446403111018206,0.49166442963837365,0.24317594409161067,0.0658318771784688,0.7443344965880456,-0.55,-0.55,0.0,0.0
six_axis_topology,28,0.5416247308501396,0.07744163614487791,-0.009164999668137282,14.61513052287999,-1.7296595611873269,40.88090222407664,-2.1620744514841586,-18.26891315359999,2.061675353870826,0.5461789776104996,0.2425223620116153,-0.21003907706343947,0.75,-0.22000000000000003,0.22000000000000003,0.0,0.0
six_axis_topology,29,0.5496682954459517,0.0802192633300434,-0.0040627426893814714,15.031450107660003,-0.7612749294947305,41.80754257527282,-0.9515936618684131,-18.789312634575005,2.2832280285064437,0.5342059503327103,0.2428036839121355,-0.1918808045734204,0.75,-0.22000000000000003,0.22000000000000003,0.0,0.0
six_axis_topology,30,0.5574720670436798,0.07362043315260275,0.010891517885070649,13.837856954038013,2.047193422423187,38.856860420892964,2.558991778028984,-17.297321192547518,2.5416080602337923,0.5108253307100297,0.24307973817805867,-0.13704071277360122,0.7343708280307846,-0.55,0.55,0.0,0.0
six_axis_topology,31,0.5656277826665111,0.07636353083223253,0.006048655579835631,14.475144588474263,1.1465573046426756,40.33467289155847,1.4331966308033444,-18.093930735592828,2.49947230289871,0.529415406639683,0.2423914494373195,0.20022071756260842,0.75,-0.22000000000000003,-0.22000000000000003,0.0,0.0
six_axis_topology,32,0.5737147973228645,0.07917542991481052,0.0005993079927889009,14.887146161480079,0.11268629288140657,41.35436843722346,0.1408578661017582,-18.608932701850097,2.399973192697838,0.5119516391442562,0.24268672485299098,0.16628762489354781,0.75,-0.22000000000000003,-0.22000000000000003,0.0,0.0
six_axis_topology,33,0.5817391854175538,0.08203595245111567,-0.005492412349481968,15.314007745734571,-1.0252924815233395,42.63414359308502,-1.2816156019041745,-19.142509682168214,2.286194442273797,0.47743895039365436,0.2429748075925905,0.027012274112750367,0.7517317457952997,-0.22000000000000003,-0.22000000000000003,0.0,0.0
six_axis_topology,34,0.5893883118066658,0.0753195994654376,0.00932620633324224,13.956042824391075,1.7280619639455452,39.06283809408975,2.1600774549319315,-17.445053530488842,2.509456766133859,0.5283513836060547,0.24325621585685556,-0.16015389235746255,0.7252572805248516,-0.55,0.55,0.0,0.0
six_axis_topology,35,0.5974976257060358,0.07809138956654052,0.004272156417938596,14.727333391161743,0.8056902587520481,40.970431750659635,1.0071128234400601,-18.40916673895218,2.4852837839862065,0.5275554477611478,0.2425778513528553,0.19263476332842774,0.75,-0.22000000000000003,-0.22000000000000003,0.0,0.0
six_axis_topology,36,0.6055340686349606,0.08091795180292984,-0.0013962144825345997,15.135127424634199,-0.2611519895702023,42.04827862714414,-0.3264399869627529,-18.918909280792747,2.3798360696102394,0.5049247423424793,0.24286605925257282,0.14069990516585548,0.75,-0.22000000000000003,-0.22000000000000003,0.0,0.0
six_axis_topology,37,0.6134368794458424,0.07446240525887601,0.013849451711736318,14.090717087288391,2.620768228016331,39.81212961714847,3.275960285020414,-17.61339635911049,2.6738376504487555,0.4894575563881138,0.243146844959114,-0.06062373236030577,0.7454820706781808,-0.55,0.55,0.0,0.0
six_axis_topology,38,0.6215510882632254,0.07715066157095422,0.009335161356773414,14.572530791439481,1.7632632506919668,40.77449946694669,2.2040790633649583,-18.215663489299352,2.6137270467410314,0.5458165380305529,0.2424908736394892,0.21043259459982538,0.75,-0.22000000000000003,-0.22000000000000003,0.0,0.0
six_axis_topology,39,0.6296031167147182,0.07992549276566485,0.004256267975949287,14.989084502716139,0.7982129124278005,41.695341807199824,0.9977661405347505,-18.736355628395174,2.52596758642303,0.5340667277747577,0.24277351189329893,0.1928284739740164,0.75,-0.22000000000000003,-0.22000000000000003,0.0,0.0
six_axis_topology,40,0.6374126256780761,0.07332209259636929,-0.010675287165456706,13.793480473073272,-2.0082537179042292,38.71919191041371,-2.5103171473802863,-17.24185059134159,1.8856362808270468,0.5113679431602562,0.2430508887879655,0.1406486522806677,0.7340886695566667,-0.55,-0.55,0.0,0.0
six_axis_topology,41,0.645578628502975,0.07606819302906159,-0.005811965646344694,14.433819567312138,-1.1028113082521434,40.21080064233131,-1.378514135315179,-18.042274459140174,2.1329613214495993,0.5273198898303636,0.24235729854453772,-0.1992586130453407,0.75,-0.22000000000000003,0.22000000000000003,0.0,0.0
six_axis_topology,42,0.6536754966336986,0.07888203795178439,-0.000337609360617803,14.845390358864798,-0.06353718637748082,41.23757312639031,-0.07942148297185103,-18.556737948580995,2.3650965075979706,0.5092788610903917,0.24265498623233508,-0.1634697192941097,0.75,-0.22000000000000003,0.22000000000000003,0.0,0.0
six_axis_topology,43,0.6617228622369098,0.08175808071098081,0.005783717036396533,15.293242002091441,1.0818720735619158,42.587391822805834,1.352340091952395,-19.1165525026143,2.620018252104537,0.47497988478920056,0.24294524276803242,-0.01530973003321301,0.7530104599096157,-0.22000000000000003,0.22000000000000003,0.0,0.0
six_axis_topology,44,0.6693740820358234,0.07503296307695848,-0.00900260582621805,13.910420187470557,-1.6690001925742943,38.917187266999434,-2.086250240717868,-17.388025234338194,1.958627199183402,0.5293971792116381,0.24323004539033008,0.16379541526422683,0.7247134668099482,-0.55,-0.55,0.0,0.0
six_axis_topology,45,0.677493592113936,0.07780887363752599,-0.003914754348363143,14.687885242882945,-0.7389833567145195,40.85128755975901,-0.9237291958931494,-18.35985655360368,2.231824301786948,0.5248376268382289,0.24254611976157253,-0.19073047432336646,0.75,-0.22000000000000003,0.22000000000000003,0.0,0.0
six_axis_topology,46,0.6855395124216824,0.08063750418031909,0.0017930057096071823,0.0,0.0,13.0,0.0,0.0,0.0,0.5009388241032268,0.2428367521586342,-0.13379415721143298,0.75,-0.22000000000000003,0.22000000000000003,0.0,0.0
six_axis_topology,47,0.7329804084216824,0.07660562897130313,0.0017033554241268232,0.0,0.0,13.953408,0.0,0.0,0.0,0.022400000000000052,-8.326672684688674e-17,-5.551115123125783e-17,0.988352,0.0,0.0,0.0,0.0
six_axis_topology,48,0.8179786804216824,0.04512071546409754,0.0010032763448106989,0.0,0.0,13.953408,0.0,0.0,0.0,0.022400000000000052,-8.326672684688674e-17,-5.551115123125783e-17,0.988352,0.0,0.0,0.0,0.0
six_axis_topology,49,0.9029769524216824,0.02657610140835345,0.0005909297670935016,0.0,0.0,13.953408,0.0,0.0,0.0,0.022400000000000052,-8.326672684688674e-17,-5.551115123125783e-17,0.988352,0.0,0.0,0.0,0.0
six_axis_topology,50,0.9879752244216824,0.01565332372952018,0.00034805763281807244,0.0,0.0,13.953408,0.0,0.0,0.0,0.022400000000000052,-8.326672684688674e-17,-5.551115123125783e-17,0.988352,0.0,0.0,0.0,0.0
six_axis_topology,51,1.0,0.009219807676687387,0.00020500594572984466,0.0,0.0,13.953408,0.0,0.0,0.0,0.022400000000000052,-8.326672684688674e-17,-5.551115123125783e-17,0.988352,0.0,0.0,0.0,1.0
